Order,Carrier,Cost_USD,TPT_Days,Mode,Rate_Kg
133,V444_0,1.4992,3,AIR,0.0484
134,V444_0,1.4992,3,AIR,0.0484
135,V444_0,3.4552,3,AIR,0.0824
136,V444_0,1.4992,3,AIR,0.0484
137,V444_0,1.4992,3,AIR,0.0484
138,V444_0,1.4992,3,AIR,0.0484
139,V444_4,1.396,1,AIR,0.396
140,V444_0,1.4992,3,AIR,0.0484
141,V444_0,1.4992,3,AIR,0.0484
142,V444_0,1.4992,3,AIR,0.0484
143,V444_0,1.4992,3,AIR,0.0484
144,V444_0,1.4992,3,AIR,0.0484
145,V444_0,1.4992,3,AIR,0.0484
146,V444_0,3.4552,3,AIR,0.0824
147,V444_0,1.4992,3,AIR,0.0484
148,V444_0,1.4992,3,AIR,0.0484
149,V444_0,1.4992,3,AIR,0.0484
150,V444_0,3.4552,3,AIR,0.0824
151,V444_0,1.6736583433745913,3,AIR,0.0484
152,V444_0,1.4992,3,AIR,0.0484
153,V444_0,1.4992,3,AIR,0.0484
154,V444_0,1.4992,3,AIR,0.0484
155,V444_0,1.4992,3,AIR,0.0484
156,V444_0,1.4992,3,AIR,0.0484
157,V444_0,1.4992,3,AIR,0.0484
158,V444_4,6.550750740455584,1,AIR,0.91
159,V444_0,1.4992,3,AIR,0.0484
160,V444_4,1.396,1,AIR,0.396
161,V444_4,3.370040093387327,1,AIR,0.784
162,V444_0,3.4552,3,AIR,0.0824
163,V444_0,1.4992,3,AIR,0.0484
164,V444_0,1.4992,3,AIR,0.0484
165,V444_0,1.4992,3,AIR,0.0484
166,V444_4,1.5415999999999999,1,AIR,0.5416
167,V444_0,1.4992,3,AIR,0.0484
168,V444_0,1.4992,3,AIR,0.0484
169,V444_4,1.5415999999999999,1,AIR,0.5416
170,V444_0,1.4992,3,AIR,0.0484
171,V444_0,1.4992,3,AIR,0.0484
172,V444_4,1.396,1,AIR,0.396
173,V444_0,1.4992,3,AIR,0.0484
174,V444_4,12.36169538012493,1,AIR,0.1024
175,V444_0,1.4992,3,AIR,0.0484
176,V444_4,1.4447999999999999,1,AIR,0.4448
177,V444_0,1.4992,3,AIR,0.0484
178,V444_0,3.4552,3,AIR,0.0824
179,V444_0,1.4992,3,AIR,0.0484
180,V444_0,3.4552,3,AIR,0.0824
181,V444_0,1.4992,3,AIR,0.0484
182,V444_0,1.4992,3,AIR,0.0484
183,V444_4,2.875263430412178,1,AIR,0.7356
184,V444_4,1.4447999999999999,1,AIR,0.4448
185,V444_0,1.4992,3,AIR,0.0484
186,V444_4,1.5415999999999999,1,AIR,0.5416
187,V444_4,1.4447999999999999,1,AIR,0.4448
188,V444_0,1.4992,3,AIR,0.0484
189,V444_0,1.4992,3,AIR,0.0484
190,V444_0,1.4992,3,AIR,0.0484
191,V444_4,1.5415999999999999,1,AIR,0.5416
192,V444_0,1.4992,3,AIR,0.0484
193,V444_0,1.4992,3,AIR,0.0484
194,V444_0,1.4992,3,AIR,0.0484
195,V444_0,1.4992,3,AIR,0.0484
196,V444_0,1.4992,3,AIR,0.0484
197,V444_0,3.4552,3,AIR,0.0824
198,V444_4,1.4447999999999999,1,AIR,0.4448
199,V444_0,1.4992,3,AIR,0.0484
200,V444_4,1.5899999999999999,1,AIR,0.59
201,V444_0,1.4992,3,AIR,0.0484
202,V444_0,3.4552,3,AIR,0.0824
203,V444_0,1.4992,3,AIR,0.0484
204,V444_0,1.4992,3,AIR,0.0484
205,V444_0,1.4992,3,AIR,0.0484
206,V444_0,1.4992,3,AIR,0.0484
207,V444_0,1.4992,3,AIR,0.0484
208,V444_0,3.4552,3,AIR,0.0824
209,V444_0,1.4992,3,AIR,0.0484
210,V444_0,1.4992,3,AIR,0.0484
211,V444_0,1.4992,3,AIR,0.0484
212,V444_0,1.4992,3,AIR,0.0484
213,V444_0,11.92288,3,AIR,0.0424
214,V444_0,1.4992,3,AIR,0.0484
215,V444_4,4.65702351405861,1,AIR,0.8476
216,V444_4,2.6122706759959327,1,AIR,0.7356
217,V444_0,1.4992,3,AIR,0.0484
218,V444_0,1.4992,3,AIR,0.0484
219,V444_4,1.4447999999999999,1,AIR,0.4448
